Unnamed: 0,fpath,target,file_name,client
0,/path/to/cifar10/images/data/compact_car_s_002130.png,1,compact_car_s_002130.png,1
1,/path/to/cifar10/images/data/roe_deer_s_001046.png,4,roe_deer_s_001046.png,1
2,/path/to/cifar10/images/data/truck_s_000288.png,9,truck_s_000288.png,1
3,/path/to/cifar10/images/data/fawn_s_001609.png,4,fawn_s_001609.png,1
4,/path/to/cifar10/images/data/rhea_s_000854.png,2,rhea_s_000854.png,1
5,/path/to/cifar10/images/data/passenger_ship_s_000085.png,8,passenger_ship_s_000085.png,1
6,/path/to/cifar10/images/data/domestic_cat_s_001555.png,3,domestic_cat_s_001555.png,1
7,/path/to/cifar10/images/data/green_frog_s_000214.png,6,green_frog_s_000214.png,1
8,/path/to/cifar10/images/data/fallow_deer_s_001949.png,4,fallow_deer_s_001949.png,1
9,/path/to/cifar10/images/data/lippizan_s_000829.png,7,lippizan_s_000829.png,1
10,/path/to/cifar10/images/data/rana_clamitans_s_000059.png,6,rana_clamitans_s_000059.png,1
11,/path/to/cifar10/images/data/ship_s_002166.png,8,ship_s_002166.png,1
12,/path/to/cifar10/images/data/tipper_truck_s_000572.png,9,tipper_truck_s_000572.png,1
13,/path/to/cifar10/images/data/trucking_rig_s_000247.png,9,trucking_rig_s_000247.png,1
14,/path/to/cifar10/images/data/convertible_s_000983.png,1,convertible_s_000983.png,1
15,/path/to/cifar10/images/data/car_transporter_s_000437.png,9,car_transporter_s_000437.png,1
16,/path/to/cifar10/images/data/honey_eater_s_000954.png,2,honey_eater_s_000954.png,1
17,/path/to/cifar10/images/data/wrecker_s_000792.png,9,wrecker_s_000792.png,1
18,/path/to/cifar10/images/data/convertible_s_000501.png,1,convertible_s_000501.png,1
19,/path/to/cifar10/images/data/tipper_s_001695.png,9,tipper_s_001695.png,1
20,/path/to/cifar10/images/data/domestic_cat_s_001375.png,3,domestic_cat_s_001375.png,1
21,/path/to/cifar10/images/data/gelding_s_000769.png,7,gelding_s_000769.png,1
22,/path/to/cifar10/images/data/bufo_viridis_s_000699.png,6,bufo_viridis_s_000699.png,1
23,/path/to/cifar10/images/data/cargo_ship_s_000354.png,8,cargo_ship_s_000354.png,1
24,/path/to/cifar10/images/data/canis_familiaris_s_000660.png,5,canis_familiaris_s_000660.png,1
25,/path/to/cifar10/images/data/lightship_s_000070.png,8,lightship_s_000070.png,1
26,/path/to/cifar10/images/data/passenger_ship_s_000582.png,8,passenger_ship_s_000582.png,1
27,/path/to/cifar10/images/data/funny_wagon_s_000334.png,1,funny_wagon_s_000334.png,1
28,/path/to/cifar10/images/data/tabby_s_001780.png,3,tabby_s_001780.png,1
29,/path/to/cifar10/images/data/automobile_s_001896.png,1,automobile_s_001896.png,1
30,/path/to/cifar10/images/data/mouser_s_001478.png,3,mouser_s_001478.png,1
31,/path/to/cifar10/images/data/jetliner_s_000294.png,0,jetliner_s_000294.png,1
32,/path/to/cifar10/images/data/lipizzan_s_000865.png,7,lipizzan_s_000865.png,1
33,/path/to/cifar10/images/data/mule_deer_s_002273.png,4,mule_deer_s_002273.png,1
34,/path/to/cifar10/images/data/alley_cat_s_001303.png,3,alley_cat_s_001303.png,1
35,/path/to/cifar10/images/data/grass_frog_s_000033.png,6,grass_frog_s_000033.png,1
36,/path/to/cifar10/images/data/green_frog_s_000298.png,6,green_frog_s_000298.png,1
37,/path/to/cifar10/images/data/arabian_s_000841.png,7,arabian_s_000841.png,1
38,/path/to/cifar10/images/data/lapdog_s_000531.png,5,lapdog_s_000531.png,1
39,/path/to/cifar10/images/data/dump_truck_s_001412.png,9,dump_truck_s_001412.png,1
40,/path/to/cifar10/images/data/pekinese_s_001061.png,5,pekinese_s_001061.png,1
